TM
0	0.738845215075	0.603426237692	335
1	0.582853315835	0.567892040201	5
2	0.536553717667	0.529044609978	6
3	0.566950729163	0.566439226621	12
4	0.517430332788	0.538578438784	13
5	0.425748364807	0.522552445852	129
Total:	0.561396945889	0.554655499855

NN1
0	0.732733620014	0.585540647258	370
1	0.540447052001	0.528653764059	4
2	0.540154588716	0.534542344361	5
3	0.459879530394	0.457484066613	7
4	0.429399899405	0.470194191617	16
5	0.443007719006	0.530184982687	98
Total:	0.524270401589	0.517766666099

NN3
0	0.556717052023	0.437384783869	309
1	0.441893184268	0.429372890921	11
2	0.487810077206	0.479735484301	4
3	0.501780279818	0.502788366208	16
4	0.40462421049	0.432421765336	31
5	0.363849537136	0.441120500449	129
Total:	0.45944572349	0.453803965181

NN3 //Red optimizada con alpha=2.5 y beta=0.0001
0	0.529561446467	0.409783089143	78
1	0.437786989913	0.425646180295	2
2	0.400747205587	0.391671899571	14
3	0.344005647999	0.342430502373	16
4	0.314059704532	0.356771329679	51
5	0.293108174426	0.406606414125	339
Total:	0.386544861487	0.388818235864

