TM
0	0.521928096743	0.487719081882	2
2	0.444884231998	0.443861123217	1
3	0.490682987223	0.493456873741	2
4	0.453917804229	0.517697291523	42
5	0.413768473558	0.544535400821	453
Total:	0.46503631875	0.497453954237
NN1
0	0.549319436537	0.513969192464	19
1	0.555838646034	0.535789308878	3
2	0.526674185226	0.518204844897	5
3	0.516738333216	0.508960912461	9
4	0.48533527966	0.52161785539	38
5	0.444883809966	0.543812496643	426
Total:	0.513131615107	0.523725768455
NN3
0	0.567878557955	0.50806705446	12
1	0.510535073947	0.501382024901	2
2	0.49646898898	0.480627913466	2
3	0.512208672747	0.514056439199	10
4	0.481055243557	0.528824563779	36
5	0.449224688052	0.547976033168	438
Total:	0.502895204206	0.513489004829
