TM
0	0.691050563799	0.556611698455	260
1	0.558844663614	0.54893779066	13
2	0.547104891349	0.530668668938	6
3	0.617356654193	0.616000150939	8
4	0.500098562992	0.519665133477	12
5	0.329391876598	0.461905872682	201
Total:	0.540641202091	0.538964885858
NN1
0	0.687103451165	0.539769916243	287
1	0.571844210017	0.56122771413	7
2	0.553020534055	0.546898937921	4
3	0.514594062303	0.514695134612	2
4	0.505689484827	0.522233430476	25
5	0.331278317901	0.445074424419	175
Total:	0.527255010045	0.5216499263
NN3
0	0.479909216706	0.380949822775	197
1	0.372067705892	0.356626433472	8
2	0.414233365761	0.409940560825	10
3	0.411933674422	0.408637040459	14
4	0.370329529736	0.393382474522	38
5	0.273929171146	0.385432459961	233
Total:	0.387067110611	0.389161465335
